"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","3.150475","0","2"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","0.000000","0","42"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","118","136","6","0.000000","0","136"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","110","120","6","0.000000","0","120"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","36","36","2","0.000000","0","36"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","110","120","6","0.000000","0","120"
"/InterchangeAssets/gltf/M_Default.M_Default","0","118","136","6","0.000000","0","136"
"/Game/torii-gate/textures/torii.torii","0","3","3","1","2.797395","0","3"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_022/mat_arid_022.mat_arid_022","0","28","32","1","45.440414","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_014/mat_arid_014.mat_arid_014","0","14","16","1","0.000000","0","16"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_016/mat_arid_016.mat_arid_016","0","28","32","1","0.000000","0","32"
"/Game/ARID/3D_ARID/arid_ill_003_low/arid_ill_003_low.arid_ill_003_low","0","3","3","1","3.861994","0","3"
"/Game/ARID/3D_ARID/arid_ill_005_banner/mat_arid_005.mat_arid_005","0","3","3","1","4.017555","0","3"
"/Game/ARID/3D_ARID/arid_ill_006_banner/mat_arid_006.mat_arid_006","0","6","6","1","4.111159","0","6"
"/Game/ARID/3D_ARID/arid_ill_018_low/mat_arid_018.mat_arid_018","0","6","6","1","0.000000","0","6"
"/Game/ARID/3D_ARID/arid_ill_021_banner/Empty_001.Empty_001","0","14","16","1","18.395596","0","16"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_015/mat_arid_015.mat_arid_015","0","14","16","1","0.000000","0","16"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_025/mat_arid_025.mat_arid_025","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_017/mat_arid_017.mat_arid_017","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_001/mat_arid_001.mat_arid_001","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_004/mat_arid_004.mat_arid_004","0","14","16","1","0.000000","0","16"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_008/mat_arid_008.mat_arid_008","0","14","16","1","0.000000","0","16"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_012/mat_arid_012.mat_arid_012","0","14","16","1","0.000000","0","16"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_002/mat_arid_002.mat_arid_002","0","14","16","1","0.000000","0","16"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","5","5","1","4.278162","0","5"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","43.639385","0","50"
"/Game/ARID/3D_ARID/arid_ill_021_low/mat_arid_021.mat_arid_021","0","6","6","1","0.000000","0","6"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_019/mat_arid_019.mat_arid_019","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_024/mat_arid_024.mat_arid_024","0","28","32","1","0.000000","0","32"
"/Game/ARID/3D_ARID/arid_ill_005_banner/Empty.Empty","0","14","16","1","0.000000","0","16"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","0.000000","0","9"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","0.000000","0","63"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","0.000000","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","0.000000","0","3"
"/CameraCalibrationCore/Materials/M_DefaultOddSquare.M_DefaultOddSquare","0","4","4","1","0.000000","0","4"
"/CameraCalibrationCore/Materials/M_DefaultEvenSquare.M_DefaultEvenSquare","0","4","4","1","0.000000","0","4"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","0.000000","0","63"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","0.000000","0","36"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","0.000000","0","9"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","0.000000","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","1.541922","0","5"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","1.888556","0","5"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","1.962782","0","7"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","1.715197","0","5"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","14","14","1","13.378657","0","14"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","5.259823","0","6"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","1.392114","0","5"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.SculptMaterial","0","6","7","1","6.637939","0","7"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","56","64","2","0.000000","0","64"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","1.866662","0","5"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","1.507600","0","5"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","6","7","1","9.373381","0","7"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","16.982740","0","14"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","6","1","8.845009","0","6"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","7.852377","0","9"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","2.536775","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","37","37","1","1.168374","0","37"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","7.016126","0","6"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","14.656008","0","12"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","4.868908","0","6"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","1.426649","0","5"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","31","31","1","17.598778","0","31"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","75","75","1","30.770351","0","75"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","3.013893","0","5"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","2.344720","0","2"
"/Fab/Materials/Standard/M_MS_Srf.M_MS_Srf","0","35","38","1","44.141006","11","62"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","28.615448","0","24"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","16.202894","0","16"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","609","632","1","266.705231","0","632"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","8.584548","0","6"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","6.275707","0","6"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","0","5","5","1","4.307508","0","5"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","0","5","5","1","4.123935","0","5"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","14","14","1","10.371968","0","14"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","7.435605","0","6"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","12.410168","0","9"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","2.255554","0","25"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","0","2","2","1","2.259151","0","2"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","6.467113","0","9"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","10","10","2","7.931248","0","10"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","2.337220","0","2"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_026/mat_arid_026.mat_arid_026","0","28","32","1","28.249928","0","32"
"/Game/ARID/3D_ARID/arid_ill_006_banner/Empty_001.Empty_001","0","3","3","1","4.047772","0","3"
"/Game/ARID/3D_ARID/arid_ill_018_banner/Empty.Empty","0","14","16","1","12.193232","0","16"
"/Game/ARID/3D_ARID/arid_ill_003_banner/Empty.Empty","0","14","16","1","0.000000","0","16"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","110","68","6","131.536880","0","68"
"Globals","49","15774","0","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","44","48","1","0.000000","0","48"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","49","7","7","1","18.675655","0","7"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","81","86","6","274.277100","3","86"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","44","48","1","0.000000","0","48"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","22","22","1","92.316628","0","22"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","49","10","10","1","16.845095","4","10"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","58","64","2","0.000000","0","64"
